	Gene	Chrom	nSNPS	TopSNP P-Value	TopSNP Position	Binarized Heat	Negative Log	Size Adjusted Heat	HumanGene
8666	LOC102552406	chr13	56	3.50E-01	51021833	0	0.456056058	0.41177515	NA
3933	Exo1	chr13	98	3.50E-01	93945210	0	0.456028752	0.395548038	EXO1
10441	LOC103692325	chr13	22	3.50E-01	93945210	0	0.456028752	0.398078003	NA
19093	RGD1563870	chr7	46	3.50E-01	117099575	0	0.455856271	0.386852988	NA
20150	Scrib	chr7	23	3.50E-01	117099575	0	0.455856271	0.398154502	SCRIB
4131	Fam217b	chr3	60	3.50E-01	173956536	0	0.455624336	0.413111392	FAM217B
18286	Ppp1r3d	chr3	27	3.50E-01	173956536	0	0.455624336	0.417922341	PPP1R3D
8934	LOC102553404	chr18	82	3.50E-01	11372967	0	0.455566062	0.404360881	NA
5461	Hmx1	chr14	70	3.50E-01	80548846	0	0.455533828	0.416849966	HMX1
13344	LOC108352778	chr14	142	3.50E-01	80548846	0	0.455533828	0.38110618	NA
15971	Nemf	chr6	28	3.50E-01	91685538	0	0.455417312	0.355166954	NEMF
13839	LOC684545	chr1	43	3.50E-01	73107742	0	0.455407397	0.382166423	NA
2826	Cul2	chr17	31	3.50E-01	56980640	0	0.455333042	0.380319085	CUL2
3284	Dnah17	chr10	412	3.51E-01	107072716	0	0.455293392	0.286974931	DNAH17
2251	Cib3	chr16	73	3.51E-01	19313565	0	0.45528348	0.411313799	CIB3
11079	LOC103694285	chr19	97	3.51E-01	11845844	0	0.455278524	0.416451097	NA
15073	Mir3084c	chr5	12	3.51E-01	86767784	0	0.455167031	0.420479911	NA
1073	Atp9b	chr18	142	3.51E-01	77399531	0	0.455160837	0.227725529	ATP9B
4804	Ghsr	chr2	55	3.51E-01	113068110	0	0.455105102	0.415153246	GHSR
5425	Hivep1	chr17	187	3.51E-01	22308513	0	0.455003558	0.294630392	HIVEP1
18952	RGD1560718	chr1	11	3.51E-01	54026099	0	0.454928035	0.412409068	NA
22789	Ube2v1	chr3	52	3.51E-01	164333990	0	0.454925559	0.397365348	UBE2V1
23079	Vom1r38	chr1	31	3.51E-01	72232561	0	0.454857476	0.419311976	NA
1657	Ccdc125	chr2	54	3.51E-01	30690205	0	0.45480178	0.379249703	CCDC125
9213	LOC102554474	chr9	22	3.51E-01	79038885	0	0.454590199	0.418121061	NA
3161	Desi1	chr7	71	3.51E-01	123230009	0	0.454567934	0.39856084	DESI1
10974	LOC103693953	chr16	122	3.51E-01	44973245	0	0.454559275	0.417108269	NA
15505	Ms4a1	chr1	71	3.51E-01	227448880	0	0.454534537	0.407616242	MS4A1
17774	Pfkfb2	chr13	59	3.51E-01	47420214	0	0.45450609	0.392550567	PFKFB2
613	Ankrd46	chr7	35	3.51E-01	75304902	0	0.45440716	0.398706272	ANKRD46
22318	Tomm34	chr3	61	3.51E-01	160445013	0	0.454389849	0.402855372	TOMM34
14324	Lppos	chr11	65	3.51E-01	79818049	0	0.454360176	0.418638983	NA
23163	Vom2r67	chr14	64	3.51E-01	1311158	0	0.454267459	0.414043531	NA
20297	Serpinb7	chr13	278	3.51E-01	27305011	0	0.454154989	0.346931164	SERPINB7
21840	Tgfbr1	chr5	2	3.51E-01	63117514	0	0.454130274	0.35569607	TGFBR1
20824	Slc9a3r1	chr10	66	3.52E-01	103738541	0	0.453974603	0.402188133	SLC9A3R1
3267	Dmrt1	chr1	149	3.52E-01	243478715	0	0.453969662	0.313708713	DMRT1
13232	LOC108352574	chr13	16	3.52E-01	90388031	0	0.45395978	0.416701533	NA
6095	Kcnip1	chr10	978	3.52E-01	18839376	0	0.453881968	0.033193483	KCNIP1
6114	Kcnk13	chr6	224	3.52E-01	124075095	0	0.453790588	0.312532712	KCNK13
9332	LOC102554931	chr20	6	3.52E-01	10586275	0	0.453656022	0.415906842	NA
1632	Cbx7	chr7	109	3.52E-01	121157191	0	0.453646148	0.401522349	CBX7
6881	LOC100911278	chr9	12	3.52E-01	8051174	0	0.453646148	0.319645857	NA
11879	LOC108350013	chr2	14	3.52E-01	145393197	0	0.453468441	0.416942077	NA
18774	RGD1306063	chr15	23	3.52E-01	12875271	0	0.453347543	0.398722894	C3orf14
19447	Rbl2	chr19	52	3.52E-01	17325442	0	0.453173657	0.371592835	RBL2
6491	LOC100360011	chr1	31	3.52E-01	83474914	0	0.453034352	0.41308852	NA
1602	Casz1	chr5	165	3.52E-01	165771057	0	0.452930827	0.265777179	CASZ1
5393	Hid1	chr10	130	3.53E-01	103895216	0	0.452815007	0.397626136	HID1
17390	Otop3	chr10	86	3.53E-01	103895216	0	0.452815007	0.406865527	OTOP3
16379	Oas1e	chr12	68	3.53E-01	41274217	0	0.452807615	0.409132092	NA
21800	Tex26	chr12	146	3.53E-01	6694892	0	0.452759572	0.378905182	TEX26
10501	LOC103692510	chr5	15	3.53E-01	165568832	0	0.452731241	0.415730006	NA
4011	Fam109a	chr12	20	3.53E-01	40231498	0	0.452707839	0.4128112	NA
5419	Hist2h3c2	chr2	19	3.53E-01	198422992	0	0.452482503	0.389701729	HIST2H3C
7003	LOC100912338	chr2	10	3.53E-01	198422992	0	0.452482503	0.417355651	NA
8645	LOC102552334	chr13	88	3.53E-01	64614013	0	0.452480041	0.405858916	NA
5618	Iars	chr17	142	3.53E-01	15355764	0	0.45239757	0.370930194	IARS
17278	Olr848	chr5	1291	3.53E-01	68701245	0	0.45239757	0	NA
1248	Bhmt2	chr2	52	3.53E-01	23269096	0	0.452306502	0.400674641	BHMT2
4752	Gdf9	chr10	27	3.53E-01	38793466	0	0.452297888	0.406917651	GDF9
14046	LOC691143	chr1	46	3.53E-01	102711030	0	0.452272048	0.399601095	SAAL1
8188	LOC102550575	chr2	69	3.53E-01	199865092	0	0.452270818	0.408620394	NA
3981	Fabp1	chr4	55	3.53E-01	99060877	0	0.45203833	0.413628548	FABP1
9954	LOC103690613	chr11	40	3.53E-01	80418996	0	0.452005127	0.332001969	NA
842	Arl13b	chr7	6	3.53E-01	1112912	0	0.451834237	0.351313816	ARL13B
18437	Pros1	chr7	13	3.53E-01	1203140	0	0.451834237	0.335401139	PROS1
6169	Kdm2b	chr12	184	3.53E-01	39168103	0	0.451831778	0.276629202	KDM2B
19771	Rnf34	chr12	15	3.53E-01	39168103	0	0.451831778	0.396211207	RNF34
17159	Olr610	chr3	65	3.53E-01	76321307	0	0.451722395	0.416154807	NA
6800	LOC100910585	chr17	4	3.53E-01	14366197	0	0.451644983	0.409573779	NA
16186	Npm2	chr15	8	3.54E-01	52352728	0	0.451530733	0.408486698	NPM2
23398	Xpo7	chr15	18	3.54E-01	52352728	0	0.451530733	0.331364934	XPO7
4504	Foxo6	chr5	31	3.54E-01	139225440	0	0.451480374	0.397650858	FOXO6
16143	Nos1ap	chr13	511	3.54E-01	88834996	0	0.451469321	0.124847341	NOS1AP
18188	Popdc2	chr11	2	3.54E-01	64941728	0	0.451313373	0.376874682	POPDC2
19665	Rims3	chr5	52	3.54E-01	139819807	0	0.451290047	0.387939027	RIMS3
22787	Ube2t	chr13	81	3.54E-01	51794025	0	0.451271633	0.406109254	UBE2T
17344	Orai2	chr12	66	3.54E-01	23548170	0	0.451242171	0.396424763	ORAI2
1098	Avpr1b	chr13	41	3.54E-01	48363933	0	0.4511673	0.404978879	AVPR1B
2898	Cyp2a3	chr1	13	3.54E-01	83647444	0	0.451112074	0.407588149	CYP2A13
2919	Cyp2g1	chr1	18	3.54E-01	83628297	0	0.451112074	0.40493269	NA
10009	LOC103691073	chr1	22	3.54E-01	83634743	0	0.451112074	0.407314069	NA
20793	Slc6a12	chr4	44	3.54E-01	153911639	0	0.450996738	0.396164271	SLC6A12
20794	Slc6a13	chr4	68	3.54E-01	153910480	0	0.450996738	0.378987616	SLC6A13
10134	LOC103691460	chr2	36	3.54E-01	48122727	0	0.45090351	0.416132058	NA
9050	LOC102553820	chr5	30	3.54E-01	36681513	0	0.450863035	0.411265575	NA
18202	Pou3f2	chr5	49	3.54E-01	36681513	0	0.450863035	0.410316838	POU3F2
10719	LOC103693122	chr8	3	3.54E-01	71212573	0	0.450671752	0.41185838	NA
16390	Oaz2	chr8	5	3.54E-01	71212573	0	0.450671752	0.402221423	OAZ2
7066	LOC102546330	chr5	31	3.54E-01	68519087	0	0.450503836	0.399976325	NA
21532	Syvn1	chr1	23	3.54E-01	221405733	0	0.450467075	0.408872749	SYVN1
11685	LOC108349592	chr1	29	3.55E-01	134006133	0	0.450316386	0.397456689	NA
2910	Cyp2c6v1	chr1	5	3.55E-01	147771151	0	0.450294338	0.314746954	CYP2C19
2911	Cyp2c7	chr1	6	3.55E-01	147771151	0	0.450294338	0	CYP2C8
13218	LOC108352553	chr13	204	3.55E-01	69597512	0	0.4501633	0.34842709	NA
10895	LOC103693635	chr15	24	3.55E-01	40497261	0	0.45002863	0.391751595	NA
17350	Orc4	chr3	91	3.55E-01	33067867	0	0.449818137	0.374117475	ORC4
3540	E2f8	chr1	31	3.55E-01	104178164	0	0.4497692	0.396831195	E2F8
20030	Samd10	chr3	3	3.55E-01	177088737	0	0.449712929	0.410945739	SAMD10
23674	Zfp512b	chr3	7	3.55E-01	177088737	0	0.449712929	0.40455055	ZNF512B
13692	LOC500227	chr4	13	3.55E-01	114867611	0	0.449711706	0.408839224	C2orf81
3031	Dctn1	chr4	26	3.55E-01	114867611	0	0.449711706	0.395217572	DCTN1
23285	Wdr54	chr4	17	3.55E-01	114867611	0	0.449711706	0.390729896	WDR54
20074	Sbno1	chr12	145	3.55E-01	37603141	0	0.44966645	0.35775293	SBNO1
22365	Tph1	chr1	32	3.55E-01	102699771	0	0.449536824	0.385227028	TPH1
15926	Ndufs2	chr13	54	3.55E-01	89600240	0	0.449524598	0.398181876	NDUFS2
159	Acp2	chr3	28	3.55E-01	80016936	0	0.449437797	0.404760328	ACP2
16211	Nr1h3	chr3	16	3.55E-01	80016936	0	0.449437797	0.404712138	NR1H3
18206	Pou4f3	chr18	17	3.55E-01	36713266	0	0.449419461	0.41219836	POU4F3
17676	Pde6b	chr14	54	3.55E-01	2344138	0	0.449249584	0.371236815	PDE6B
11331	LOC108348551	chr17	16	3.56E-01	31101756	0	0.449012601	0.410352834	NA
12416	LOC108351094	chr5	14	3.56E-01	88136907	0	0.44900161	0.412691096	NA
7041	LOC100912659	chr1	16	3.56E-01	98039112	0	0.448957649	0.394870116	NA
16194	Npr3	chr2	72	3.56E-01	61931994	0	0.448856312	0.347630111	NPR3
11709	LOC108349629	chr1	67	3.56E-01	190875161	0	0.448809925	0.411525575	NA
18173	Polr3e	chr1	106	3.56E-01	190875161	0	0.448809925	0.385493039	POLR3E
21466	Sval2	chr4	28	3.56E-01	71354363	0	0.448786733	0.410188207	NA
4713	Gbf1	chr1	71	3.56E-01	265947665	0	0.448612223	0.284994276	GBF1
22772	Ube2g1	chr10	54	3.56E-01	59262277	0	0.448543902	0.332413999	UBE2G1
14213	Lhpp	chr1	197	3.56E-01	204712771	0	0.448451199	0.32228878	LHPP
5420	Hist2h4	chr2	5	3.56E-01	198420594	0	0.448376807	0.413361394	NA
14791	Med31	chr10	45	3.56E-01	58789383	0	0.448315839	0.410301615	MED31
7018	LOC100912483	chr10	56	3.56E-01	58789383	0	0.448315839	0.410415061	NA
22721	Txndc17	chr10	30	3.56E-01	58789383	0	0.448315839	0.410713236	TXNDC17
16429	Olfml2b	chr13	117	3.56E-01	88999927	0	0.448168332	0.376216436	OLFML2B
7609	LOC102548312	chr16	79	3.56E-01	18759133	0	0.448106175	0.406152434	NA
10630	LOC103692893	chr7	126	3.56E-01	79158235	0	0.448106175	0.396916054	NA
20357	Sftpd	chr16	69	3.56E-01	18759133	0	0.448106175	0.400872638	SFTPD
3826	Ephx4	chr14	166	3.56E-01	3358822	0	0.448086677	0.384035901	EPHX4
13277	LOC108352691	chr14	141	3.56E-01	3358822	0	0.448086677	0.400210609	NA
14317	Lpcat2b	chr14	120	3.56E-01	3358822	0	0.448086677	0.410044341	NA
6575	LOC100361920	chr4	41	3.56E-01	126071066	0	0.448037934	0.409267732	NA
20671	Slc2a1	chr5	138	3.56E-01	138157870	0	0.447983106	0.385032663	SLC2A1
22861	Ugt8	chr2	202	3.56E-01	229691936	0	0.447981887	0.33876421	UGT8
5694	Ift52	chr3	91	3.57E-01	159387184	0	0.447906357	0.388700665	IFT52
20371	Sgk2	chr3	156	3.57E-01	159387184	0	0.447906357	0.388660507	SGK2
6328	Klrc3	chr4	110	3.57E-01	163406997	0	0.4478077	0.402187518	KLRC3
21066	Spaca9	chr3	23	3.57E-01	7279009	0	0.447735854	0.403677824	SPACA9
22555	Tsc1	chr3	33	3.57E-01	7279009	0	0.447735854	0.363814813	TSC1
5553	Hsd3b3	chr2	44	3.57E-01	200768303	0	0.447678628	0.407101308	NA
1612	Cav3	chr4	29	3.57E-01	144402253	0	0.447633583	0.396977566	CAV3
18032	Plekhg7	chr7	88	3.57E-01	37216889	0	0.447586109	0.387368431	PLEKHG7
9359	LOC102555028	chr2	86	3.57E-01	225805375	0	0.447489959	0.398522593	NA
7048	LOC100912904	chr16	1	3.57E-01	66220328	0	0.447479007	0.39386032	NA
13788	LOC681180	chr16	1	3.57E-01	66220328	0	0.447479007	0.405049391	NA
9136	LOC102554145	chr17	26	3.57E-01	85493557	0	0.447346382	0.40608035	NA
14891	Mgarp	chr2	42	3.57E-01	140436083	0	0.447071528	0.403662054	MGARP
8893	LOC102553242	chr19	54	3.57E-01	22909481	0	0.446997372	0.389107864	NA
12349	LOC108350982	chr5	2	3.57E-01	78086704	0	0.446982785	0.406671514	NA
9031	LOC102553750	chr11	81	3.57E-01	79993506	0	0.446940244	0.406312726	NA
21693	Tbx3	chr12	51	3.57E-01	42480898	0	0.446934167	0.397185724	TBX3
3320	Dnajc2	chr4	47	3.57E-01	9917673	0	0.446808999	0.384894638	DNAJC2
22161	Tmem38b	chr5	106	3.57E-01	70646821	0	0.446764044	0.376104237	TMEM38B
9977	LOC103690937	chr1	34	3.58E-01	1650106	0	0.446703303	0.406469335	NA
1199	Bcl2	chr13	155	3.58E-01	26681072	0	0.44667415	0.247458994	BCL2
4364	Fgf17	chr15	3	3.58E-01	52345160	0	0.446646213	0.401383438	FGF17
20375	Sgo1	chr9	41	3.58E-01	4440230	0	0.446604919	0.396142665	SGO1
3585	Eea1	chr7	156	3.58E-01	37097898	0	0.446578201	0.326503762	EEA1
11322	LOC108348538	chr17	42	3.58E-01	21121171	0	0.446545414	0.404787444	NA
12417	LOC108351095	chr5	17	3.58E-01	88156076	0	0.446479846	0.409911316	NA
12427	LOC108351130	chr5	14	3.58E-01	88156076	0	0.446479846	0.409522785	NA
23754	Zfp804a	chr3	599	3.58E-01	69296096	0	0.446465276	0.104867309	ZNF804A
17878	Pigm	chr13	15	3.58E-01	90752518	0	0.446285629	0.407955159	PIGM
6007	Jakmip2	chr18	236	3.58E-01	38002454	0	0.4461194	0.19074605	JAKMIP2
1873	Cd300lf	chr10	202	3.58E-01	103686280	0	0.446085434	0.390581321	CD300LF
19286	Rab37	chr10	275	3.58E-01	103686280	0	0.446085434	0.343208732	RAB37
17518	Parl	chr11	41	3.58E-01	84507369	0	0.446016297	0.384195303	PARL
22562	Tsfm	chr7	28	3.58E-01	70314044	0	0.445999317	0.403910042	TSFM
4007	Fam104a	chr10	61	3.58E-01	102204986	0	0.445988402	0.390276471	FAM104A
21633	Tas2r144	chr4	28	3.58E-01	71593201	0	0.44589018	0.410308537	TAS2R40
2772	Cstf2t	chr1	52	3.58E-01	249577021	0	0.445887755	0.407688804	CSTF2T
6775	LOC100910308	chr14	7	3.58E-01	33986433	0	0.445886543	0.402122672	NA
22517	Trmt1l	chr13	109	3.58E-01	68813205	0	0.44571077	0.377831917	TRMT1L
7252	LOC102547067	chr1	27	3.58E-01	191241674	0	0.445564146	0.409539759	NA
20685	Slc30a5	chr2	232	3.58E-01	30822789	0	0.445512051	0.380661124	SLC30A5
7844	LOC102549239	chr6	5	3.59E-01	135127635	0	0.445481767	0.405639342	NA
23380	XAF1	chr10	17	3.59E-01	58851380	0	0.445317056	0.398515219	NA
11569	LOC108349083	chr20	69	3.59E-01	44611074	0	0.445268623	0.388846896	NA
21586	Tango6	chr19	188	3.59E-01	38880936	0	0.445238356	0.203066002	TANGO6
21038	Sostdc1	chr6	5	3.59E-01	55803279	0	0.445181458	0.406372102	SOSTDC1
17175	Olr635	chr3	56	3.59E-01	76780770	0	0.445168143	0.409616619	NA
20534	Slc12a3	chr19	170	3.59E-01	11109473	0	0.444904342	0.371491692	SLC12A3
13210	LOC108352544	chr13	102	3.59E-01	60202113	0	0.444766454	0.409368535	NA
20552	Slc16a1	chr2	65	3.59E-01	207135595	0	0.444714456	0.389213355	SLC16A1
21875	Thnsl2	chr4	36	3.59E-01	99002157	0	0.444547618	0.389219197	THNSL2
9510	LOC102555690	chr10	37	3.59E-01	81871446	0	0.444530696	0.403204426	NA
9543	LOC102555823	chr10	70	3.59E-01	81871446	0	0.444530696	0.398288062	NA
17103	Olr522	chr3	31	3.59E-01	74249857	0	0.444519818	0.408950222	NA
8151	LOC102550441	chr7	13	3.59E-01	131420057	0	0.444395344	0.349012157	NA
20792	Slc6a11	chr4	337	3.60E-01	146220179	0	0.444059562	0.292136679	SLC6A11
17125	Olr563	chr3	13	3.60E-01	75471497	0	0.443610649	0.408044065	NA
5995	Ivns1abp	chr13	42	3.60E-01	68702263	0	0.443603412	0.389405444	IVNS1ABP
19848	Rpl37a-ps1	chr5	23	3.60E-01	145064445	0	0.44340686	0.40870167	NA
13316	LOC108352739	chr14	29	3.60E-01	33616124	0	0.443405655	0.407241718	NA
20791	Slc6a1	chr4	150	3.60E-01	146252271	0	0.443361051	0.375276387	SLC6A1
3008	Dcbld1	chr20	228	3.60E-01	33371354	0	0.443282705	0.312184847	DCBLD1
14120	Lars	chr18	53	3.60E-01	36529974	0	0.443232089	0.352935938	LARS
2994	Dbt	chr2	7	3.61E-01	219596089	0	0.443048955	0.37944795	DBT
5014	Gpm6a	chr16	313	3.61E-01	39511612	0	0.442916472	0.055312298	GPM6A
20861	Slpil3	chr3	2	3.61E-01	160785295	0	0.442710601	0.405842893	NA
15199	Mir6315	chr1	30	3.61E-01	221431925	0	0.442679308	0.407960062	NA
21975	Tm7sf2	chr1	36	3.61E-01	221431925	0	0.442679308	0.403720363	TM7SF2
23836	Znhit2	chr1	25	3.61E-01	221431925	0	0.442679308	0.406774392	ZNHIT2
12418	LOC108351099	chr5	81	3.61E-01	98968183	0	0.442569799	0.400452413	NA
9197	LOC102554374	chr12	68	3.61E-01	45302334	0	0.442508438	0.40702217	NA
14129	Lbhd1	chr1	32	3.61E-01	225082116	0	0.442330419	0.400575461	NA
22910	Uqcc3	chr1	25	3.61E-01	225082116	0	0.442330419	0.406930492	UQCC3
12046	LOC108350382	chr3	10	3.61E-01	47315141	0	0.442315988	0.399803045	NA
10294	LOC103691896	chr3	14	3.61E-01	126382287	0	0.442311178	0.388428452	NA
1012	Atp13a5	chr11	393	3.61E-01	75108277	0	0.442288331	0.267406016	ATP13A5
14906	Mgst2	chr2	43	3.61E-01	140719868	0	0.442282319	0.388603395	MGST2
14017	LOC690418	chr4	10	3.61E-01	166156736	0	0.442257068	0.405520877	NA
14379	Lrrc3b	chr15	207	3.62E-01	11219450	0	0.44181722	0.328486342	LRRC3B
4230	Fau	chr1	21	3.62E-01	221425400	0	0.441745156	0.405605315	FAU
15470	Mrpl49	chr1	22	3.62E-01	221425400	0	0.441745156	0.404336316	MRPL49
5015	Gpn1	chr6	72	3.62E-01	26254458	0	0.441716334	0.389353594	GPN1
21448	Supt7l	chr6	69	3.62E-01	26254458	0	0.441716334	0.396919394	SUPT7L
212	Acvr1b	chr7	6	3.62E-01	142823094	0	0.441487026	0.365514292	ACVR1B
1172	Baz2b	chr3	429	3.62E-01	46082533	0	0.441457021	0.087510415	BAZ2B
9852	LOC103690141	chr14	145	3.62E-01	112930933	0	0.441365818	0.391103351	NA
23477	Zbtb43	chr3	44	3.62E-01	12489614	0	0.44134422	0.387049872	ZBTB43
14062	LOC691485	chr6	17	3.62E-01	137081214	0	0.441319024	0.396787128	C14orf180
22080	Tmem179	chr6	35	3.62E-01	137081214	0	0.441319024	0.395601458	TMEM179
7323	LOC102547321	chr1	60	3.62E-01	248474494	0	0.441311825	0.404043539	NA
7336	LOC102547391	chr1	77	3.62E-01	248474494	0	0.441311825	0.387877866	NA
20683	Slc30a3	chr6	20	3.62E-01	26625481	0	0.441265037	0.386211699	SLC30A3
16606	Olr1361	chr10	12	3.62E-01	12337126	0	0.441257839	0.405694267	NA
23293	Wdr66	chr12	339	3.62E-01	38740954	0	0.441232648	0.333643384	WDR66
13289	LOC108352704	chr14	45	3.62E-01	8893180	0	0.44120266	0.400504866	NA
6643	LOC100363335	chr14	12	3.62E-01	100505183	0	0.440932865	0.404617331	NA
11047	LOC103694164	chr18	73	3.63E-01	2702398	0	0.440677613	0.399953716	NA
11048	LOC103694165	chr18	51	3.63E-01	2702398	0	0.440677613	0.40446649	NA
10330	LOC103691983	chr3	112	3.63E-01	169813336	0	0.440672821	0.396757353	NA
2575	Cox20	chr13	24	3.63E-01	96221339	0	0.440569805	0.401764464	COX20
11965	LOC108350145	chr2	65	3.63E-01	258227365	0	0.440513516	0.398674225	NA
12983	LOC108352110	chr10	20	3.63E-01	67802109	0	0.440104143	0.403742427	NA
2488	Col15a1	chr5	32	3.63E-01	62953246	0	0.440092179	0.295158826	COL15A1
3247	Dlgap3	chr5	149	3.63E-01	145250357	0	0.440092179	0.335418398	DLGAP3
11560	LOC108349069	chr20	118	3.63E-01	33618398	0	0.439910364	0.355119899	NA
11985	LOC108350223	chr2	38	3.63E-01	24548815	0	0.439765684	0.403698127	NA
17393	Otp	chr2	34	3.63E-01	24548815	0	0.439765684	0.396552984	OTP
2932	Cyp3a73	chr12	16	3.63E-01	10716416	0	0.439744166	0.389458607	NA
4803	Ghrl	chr4	31	3.63E-01	145668530	0	0.439652126	0.401108818	GHRL
21638	Tatdn2	chr4	41	3.63E-01	145668530	0	0.439652126	0.388925832	TATDN2
23329	Wfikkn2	chr10	31	3.63E-01	81952874	0	0.439574446	0.39794197	WFIKKN2
10336	LOC103691997	chr3	11	3.63E-01	176907528	0	0.439527844	0.403862873	NA
12796	LOC108351778	chr8	26	3.63E-01	117664311	0	0.439508727	0.399305883	NA
22206	Tmem89	chr8	21	3.63E-01	117664311	0	0.439508727	0.403992341	TMEM89
7765	LOC102548893	chr10	80	3.64E-01	38037439	0	0.439210132	0.379405078	NA
7778	LOC102548961	chr10	125	3.64E-01	38037439	0	0.439210132	0.384544321	NA
5621	Ibtk	chr8	9	3.64E-01	93316086	0	0.439167151	0.330667301	IBTK
21030	Sorbs3	chr15	60	3.64E-01	51873711	0	0.43899527	0.367528283	SORBS3
10647	LOC103692949	chr7	40	3.64E-01	123254671	0	0.438769779	0.400954338	NA
17532	Pars2	chr5	35	3.64E-01	126249601	0	0.438769779	0.399016706	PARS2
22625	Ttc22	chr5	80	3.64E-01	126249601	0	0.438769779	0.377905554	TTC22
13779	LOC680875	chr7	18	3.64E-01	117177850	0	0.438751888	0.397019017	NA
13913	LOC687881	chr10	43	3.64E-01	60621653	0	0.438619517	0.403238665	NA
9088	LOC102553965	chr1	53	3.64E-01	255452684	0	0.438593286	0.376910838	NA
5582	Hspbap1	chr11	116	3.64E-01	68178731	0	0.438478842	0.348543112	HSPBAP1
1764	Cckar	chr14	20	3.64E-01	59603793	0	0.438456195	0.394955361	CCKAR
1194	Bche	chr2	180	3.65E-01	171126085	0	0.438063046	0.311371543	BCHE
14287	Lmod3	chr4	109	3.65E-01	129608864	0	0.438003509	0.3885683	LMOD3
16776	Olr1622	chr15	8	3.65E-01	27439285	0	0.437938027	0.402377467	OR11H7
19064	RGD1563159	chr18	19	3.65E-01	30802883	0	0.437746402	0.402364546	NA
17598	Pcdhga1	chr18	245	3.65E-01	30802883	0	0.437746402	0.239775146	PCDHGA1
9032	LOC102553752	chr4	2	3.65E-01	178010165	0	0.437640509	0.391327598	NA
15368	Mospd3	chr12	18	3.65E-01	22165906	0	0.437427611	0.398518864	MOSPD3
13143	LOC108352432	chr12	76	3.65E-01	22165906	0	0.437427611	0.3832949	NA
17633	Pcolce	chr12	44	3.65E-01	22165906	0	0.437427611	0.396467785	PCOLCE
13933	LOC688657	chr3	63	3.65E-01	76392763	0	0.437380051	0.399812586	NA
22644	Ttc4	chr5	35	3.65E-01	126255004	0	0.437351517	0.384989781	TTC4
4158	Fam46a	chr8	14	3.65E-01	92933461	0	0.437321796	0.395883083	NA
18098	Pmm1	chr7	8	3.65E-01	123184568	0	0.437302776	0.392272918	PMM1
12419	LOC108351111	chr5	152	3.65E-01	93378139	0	0.437163715	0.364733936	NA
6237	Kirrel	chr2	160	3.65E-01	186518199	0	0.437136384	0.307677983	NA
10613	LOC103692852	chr7	2	3.65E-01	54178289	0	0.437119748	0.390139208	NA
2666	Creld1	chr4	18	3.66E-01	145453563	0	0.436936798	0.392669946	CRELD1
18492	Prrt3	chr4	24	3.66E-01	145453563	0	0.436936798	0.392955069	PRRT3
4707	Gatsl3	chr14	37	3.66E-01	84438682	0	0.436858414	0.392356637	NA
378	Agfg2	chr12	142	3.66E-01	22082490	0	0.436789543	0.365816502	AGFG2
13142	LOC108352431	chr12	59	3.66E-01	22082490	0	0.436789543	0.389514844	NA
10674	LOC103693021	chr8	4	3.66E-01	17929041	0	0.43677767	0.399996301	NA
19863	Rpp14	chr15	43	3.66E-01	18629990	0	0.436758673	0.391905512	RPP14
16964	Olr334	chr1	24	3.66E-01	229441631	0	0.436626908	0.401063337	NA
16114	Nnt	chr2	260	3.66E-01	52187169	0	0.436546207	0.307985342	NNT
4904	Gmeb1	chr5	21	3.66E-01	150444973	0	0.436415693	0.360457015	GMEB1
2010	Cdr2	chr1	101	3.66E-01	190888499	0	0.436349264	0.376723919	CDR2
21891	Thumpd3	chr4	9	3.66E-01	144990709	0	0.436261499	0.377232503	THUMPD3
14064	LOC691551	chr1	69	3.66E-01	190915375	0	0.436237782	0.369297626	NA
649	Anxa1	chr1	86	3.66E-01	237918353	0	0.436065871	0.385364676	ANXA1
14131	Lbr	chr13	33	3.66E-01	100440264	0	0.435981719	0.382469451	LBR
21290	St8sia1	chr4	164	3.66E-01	177158182	0	0.435972238	0.27016065	ST8SIA1
11196	LOC108348163	chr16	29	3.67E-01	20228504	0	0.43584782	0.39483378	NA
12398	LOC108351053	chr5	346	3.67E-01	159115817	0	0.435817017	0.322120699	NA
15997	Nfatc1	chr18	134	3.67E-01	77291393	0	0.435779109	0.281516008	NFATC1
20383	Sgsm3	chr7	44	3.67E-01	122200687	0	0.435506741	0.371276257	SGSM3
13417	LOC108352920	chr15	45	3.67E-01	32985897	0	0.435494903	0.399120136	NA
13275	LOC108352689	chr14	65	3.67E-01	3255805	0	0.435457023	0.396359532	NA
7228	LOC102546951	chr4	45	3.67E-01	80771422	0	0.435436901	0.391857757	NA
1588	Casp12	chr8	69	3.67E-01	2684792	0	0.435312636	0.373317958	CASP12
7550	LOC102548109	chr4	27	3.67E-01	159732077	0	0.435244009	0.391641775	NA
12239	LOC108350761	chr4	26	3.67E-01	159732077	0	0.435244009	0.387610899	NA
23620	Zfp36	chr1	28	3.67E-01	85392478	0	0.435142273	0.398036627	ZFP36
21407	Styx	chr15	55	3.67E-01	19729162	0	0.435129262	0.369785393	STYX
4148	Fam26e	chr20	33	3.67E-01	27664487	0	0.434851392	0.378145545	NA
16518	Olr1171	chr8	69	3.67E-01	20406413	0	0.43480884	0.39924828	NA
2832	Cux2	chr12	407	3.67E-01	40040321	0	0.43475802	0.195038326	CUX2
